Advertiser,Advertiser ID,Data Source,Floodlight Activity Name,Floodlight Activity ID,Date,Floodlight Impressions,Rolling Median (window),Rolling MAD (window),Robust Z,Multiplier vs Median
*DO NOT USE*,6636918715.0,Global Site Tag,Homepage - PORT LYMPNE,133063179.0,2025-12-26,37651,11670.0,1925.0,9.1,3.23
ABBA Voyage,1342655439.0,Global Site Tag,Homepage,14538841.0,2025-12-10,75428,24989.0,2824.0,12.05,3.02
ABBA Voyage,1342655439.0,Global Site Tag,Homepage,14538841.0,2025-12-11,147352,26529.0,5049.0,16.14,5.55
Aspinall Foundation,6633923729.0,Global Site Tag,Homepage - PORT LYMPNE,133063179.0,2025-12-26,37651,11670.0,1925.0,9.1,3.23
BetFred YouTube - Spring Racing,6935820437.0,AppsFlyer,"AppsFlyer - Betfred Sports, Casino & Games - Android - first_open",12743191.0,2026-01-22,19590,5760.0,1162.0,8.03,3.4
BetFred YouTube - Spring Racing,6935820437.0,AppsFlyer,"AppsFlyer - Betfred Sports, Casino & Games - iOS - first_open",12743134.0,2025-12-17,6240,1012.0,117.0,30.14,6.17
BetFred YouTube - Spring Racing,6935820437.0,AppsFlyer,"AppsFlyer - Betfred Sports, Casino & Games - iOS - first_open",12743134.0,2026-01-05,44747,1155.0,48.0,612.56,38.74
BetFred YouTube - Spring Racing,6935820437.0,AppsFlyer,"AppsFlyer - Betfred Sports, Casino & Games - iOS - first_open",12743134.0,2026-01-28,142105,3516.0,2266.0,41.25,40.42
CEWE,1089651809.0,Global Site Tag,CeWe Homepage Ireland,13377180.0,2025-12-07,2086,604.0,56.0,17.85,3.45
CEWE,1089651809.0,Global Site Tag,CeWe Homepage Ireland,13377180.0,2026-01-07,1558,407.0,52.0,14.93,3.83
CEWE,1089651809.0,Global Site Tag,CeWe Product Page Photo Calendars Ireland,13376841.0,2026-01-07,276,42.0,18.0,8.77,6.57
City Fibre,1363933169.0,Iframe Tag,All Pages,14466709.0,2026-01-08,483,151.0,16.0,14.0,3.2
City Fibre,1363933169.0,Iframe Tag,All Pages,14466709.0,2026-01-09,525,151.0,16.0,15.77,3.48
Dogfest,7029840444.0,Global Site Tag,All Pages,133221986.0,2026-01-13,1703,432.0,34.0,25.21,3.94
Dogfest,7029840444.0,Global Site Tag,All Pages,133221986.0,2026-01-14,2122,432.0,34.0,33.53,4.91
Dogfest,7029840444.0,Global Site Tag,Homepage,133101618.0,2026-01-13,1440,191.0,29.0,29.05,7.54
Dogfest,7029840444.0,Global Site Tag,Homepage,133101618.0,2026-01-14,1902,191.0,29.0,39.8,9.96
Dogfest,7029840444.0,Global Site Tag,Homepage,133101618.0,2026-01-15,986,191.0,48.0,11.17,5.16
Dogfest,7029840444.0,Global Site Tag,Homepage,133101618.0,2026-01-20,1044,199.0,28.0,20.36,5.25
Dogfest,7029840444.0,Global Site Tag,Homepage,133101618.0,2026-01-21,1200,199.0,28.0,24.11,6.03
Heineken Chin Chin,6514903435.0,Global Site Tag,Star Pubs - Takeover - Farmer Will,169166113.0,2026-01-21,244,19.0,18.0,8.43,12.84
Janus Henderson Investment Trusts,1606953523.0,Global Site Tag,JHIT All Pages Pixel,72382234.0,2025-12-22,636,151.0,20.0,16.36,4.21
Kent Downs,1070743327.0,Global Site Tag,Kent Downs - All Pages,13279522.0,2025-12-18,2440,798.0,87.0,12.73,3.06
Kent Downs,1070743327.0,Global Site Tag,Kent Downs - Home Page,13320384.0,2025-12-18,458,96.0,10.0,24.42,4.77
Miller Homes,1367512771.0,Global Site Tag,Miller Homes_Search result pages_Page view_UK_KSO_July 2023,14570923.0,2025-12-26,5540,1815.0,250.0,10.05,3.05
Miller Homes,1367512771.0,Global Site Tag,Miller Homes_Search result pages_Page view_UK_KSO_July 2023,14570923.0,2026-01-08,10720,2944.0,211.0,24.86,3.64
National Institute of Health Research,7210051347.0,Global Site Tag,Landing Page - Be Part of Research,146292807.0,2025-12-09,1916,340.0,33.0,32.21,5.64
National Institute of Health Research,7210051347.0,Global Site Tag,Landing Page - Be Part of Research,146292807.0,2026-01-05,673,133.0,30.0,12.14,5.06
National Institute of Health Research,7210051347.0,Global Site Tag,Landing Page - Be Part of Research,146292807.0,2026-01-06,567,133.0,30.0,9.76,4.26
National Institute of Health Research,7210051347.0,Global Site Tag,Register Now Button - Be Part of Research,146293422.0,2025-12-09,399,79.0,18.0,11.99,5.05
National Institute of Health Research,7210051347.0,Global Site Tag,Register Now Button - Be Part of Research,146293422.0,2025-12-17,829,127.0,33.0,14.35,6.53
Northern Rail,1354707508.0,Global Site Tag,All Website Visitors,16176194.0,2026-01-06,33866,10826.0,1397.0,11.12,3.13
Northern Rail,1354707508.0,Global Site Tag,Conversions - Ticket Sales,16157194.0,2026-01-06,4806,1308.0,193.0,12.22,3.67
One Fine Stay,1181112933.0,Global Site Tag,Homepage,13605272.0,2025-12-10,234,49.0,13.0,9.6,4.78
Scottish Government,736150553.0,Global Site Tag,Business Gateway - All Pages,12592428.0,2026-01-05,10228,2124.0,335.0,16.32,4.82
Scottish Government,736150553.0,Global Site Tag,Business Gateway - All Pages,12592428.0,2026-01-06,10855,2124.0,335.0,17.58,5.11
